dataset,relation,keep,edge_seed,seed,model,norm,init,layers,n_nodes,n_edges,auc,auprc,mad,mad_random,train_time_s,mean_degree,deg_p50,deg_p90,deg_max,isolated_frac,edge_homophily,n_components,largest_cc_frac,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rsr,0.05,1,1,GCN,none,default,2,45954,340274,0.6812726380233423,0.2879131545702195,0.0025196841452270746,0.032317787408828735,4.6,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.6811959748120716,0.006923209795218921,0.2894322993721728,0.011974530136979073,0.2845744680851064,0.34891304347826085,0.2402694610778443,0.07142857142857142,0.5543478260869565,0.03817365269461078,0.010401188707280832,0.7,0.005239520958083832
yelp,net_rsr,0.05,1,2,GCN,none,default,2,45954,340274,0.679164567377465,0.284641778146977,0.0030303981620818377,0.03822135180234909,4.2,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.67757863525925,0.0081880954487505,0.2837861240801365,0.0125706009662302,0.274822695035461,0.33695652173913043,0.23203592814371257,0.0742296918767507,0.5760869565217391,0.03967065868263473,0.005943536404160475,0.4,0.0029940119760479044
yelp,net_rsr,0.05,1,3,GCN,none,default,2,45954,340274,0.6697424905789235,0.2823772525878208,0.0036474887747317553,0.04260370507836342,4.2,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.6704080928243396,0.007939069111624949,0.2844205308851813,0.012329265709443319,0.2801418439716312,0.34347826086956523,0.23652694610778444,0.0700280112044818,0.5434782608695652,0.0374251497005988,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rsr,0.05,1,1,GCN,graph,default,2,45954,340274,0.7469326240594167,0.3777886355608571,0.05897175893187523,0.35671067237854004,6.0,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.7469739837339158,0.00721481556078723,0.37946836628929853,0.013676570144589355,0.3625886524822695,0.44456521739130433,0.3061377245508982,0.09103641456582633,0.7065217391304348,0.048652694610778445,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rsr,0.05,1,2,GCN,graph,default,2,45954,340274,0.7464932977730891,0.38554110682866694,0.05684886500239372,0.3175736367702484,6.0,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.7448967330653447,0.007898898110047688,0.384493679656389,0.015463416676246296,0.3820921985815603,0.46847826086956523,0.3226047904191617,0.09523809523809523,0.7391304347826086,0.05089820359281437,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rsr,0.05,1,3,GCN,graph,default,2,45954,340274,0.7375878652572655,0.36440655364829744,0.05459683761000633,0.3079773485660553,5.9,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.7380294726598968,0.007034066611600911,0.3665134299942538,0.015423650592721789,0.36524822695035464,0.44782608695652176,0.3083832335329341,0.08543417366946779,0.6630434782608695,0.04565868263473054,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rsr,0.05,1,1,SAGE,none,default,2,45954,340274,0.8089823408173471,0.4619127116054177,0.10201546549797058,0.13599781692028046,2.4,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.8092699865065883,0.005769303226201597,0.4621952301230621,0.013002483113709296,0.43617021276595747,0.5347826086956522,0.36826347305389223,0.09943977591036414,0.7717391304347826,0.0531437125748503,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rsr,0.05,1,2,SAGE,none,default,2,45954,340274,0.8301312185964121,0.49812491004961307,0.11410245299339294,0.15543152391910553,2.4,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.8304138692239553,0.005459675835956189,0.49808625089648323,0.014632255764620732,0.44858156028368795,0.55,0.3787425149700599,0.10644257703081232,0.8260869565217391,0.05688622754491018,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.05,1,3,SAGE,none,default,2,45954,340274,0.8007374698159689,0.45966049278903953,0.09239307045936584,0.12802664935588837,2.4,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.8016239986019568,0.005935980620071943,0.4621141015548377,0.013134465459154998,0.4122340425531915,0.5054347826086957,0.34805389221556887,0.10784313725490197,0.8369565217391305,0.05763473053892216,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.05,1,1,SAGE,graph,default,2,45954,340274,0.8406427502683025,0.5397841945979276,0.33978793025016785,0.4403974115848541,4.1,7.404665470123291,7.0,15.0,44.0,0.06332419067621231,0.7729065418243408,4098,0.010140575357966662,0.8410039448385054,0.00578236456266766,0.5411986263400486,0.013570168279021546,0.4858156028368794,0.5956521739130435,0.4101796407185629,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.014858841010401188,1.0,0.0074850299401197605
