dataset,model,init,norm,seed,auc,auprc,val_auprc,best_epoch,train_time_s,mad,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
elliptic,GCN,default,batch,0,0.8761420538156806,0.5925365089360192,0.7989292276956405,406,101.3,0.07204262912273407,0.8778717799318992,0.008576925642550184,0.5980558132699024,0.021119717687354496,0.45014245014245013,0.3529937444146559,0.6210691823899371,0.28609625668449196,0.9553571428571429,0.16823899371069181,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,SAGE,xavier,none,0,0.872453688797304,0.6516724921739037,0.8702172729364432,160,73.3,0.2716304063796997,0.8734622103511965,0.009324338953234092,0.6540653021356552,0.017581800372418,0.4740740740740741,0.3717605004468275,0.6540880503144654,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,GAT,xavier,graph,0,0.8735609361696037,0.6583714548144772,0.9070761176850441,367,509.9,0.10241322219371796,0.8749675267101525,0.008736460721241889,0.660820300318056,0.01745331195303999,0.4740740740740741,0.3717605004468275,0.6540880503144654,0.2994652406417112,1.0,0.1761006289308176,0.040061633281972264,1.0,0.020440251572327043
elliptic,GCN,default,none,0,0.8719445607143623,0.5839019845470766,0.7952930798773921,493,78.4,0.06211548298597336,0.8734309602554624,0.008667997861790263,0.5875348178198547,0.020200336912305595,0.4478632478632479,0.3512064343163539,0.6179245283018868,0.2807486631016043,0.9375,0.1650943396226415,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,none,1,0.8657880685598986,0.5343332505774189,,-1,31.1,0.0705123022198677,0.8678686717688561,0.007067871702882544,0.5383096666998248,0.02198803145941821,0.44216524216524217,0.34673815907059874,0.610062893081761,0.25668449197860965,0.8571428571428571,0.1509433962264151,0.024691358024691357,0.6666666666666666,0.012578616352201259
elliptic,GCN,default,none,2,0.8684207623490579,0.5821675150775021,,-1,31.1,0.06483465433120728,0.8673334921341628,0.00789565839276368,0.577869206296987,0.019033211111978525,0.4433048433048433,0.34763181411974975,0.6116352201257862,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,none,3,0.8707059134284003,0.578020290159524,,-1,31.0,0.0613885261118412,0.8708423184590512,0.00821567804801994,0.5803079123087493,0.02029728424231348,0.4433048433048433,0.34763181411974975,0.6116352201257862,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,none,4,0.8668268210254173,0.5782271246718378,,-1,31.0,0.06903719156980515,0.8658860579527549,0.007766033858953312,0.5772265168314518,0.01811461850450898,0.4444444444444444,0.3485254691689008,0.6132075471698113,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,batch,1,0.8701642148620383,0.5215433191765203,,-1,34.5,0.07690667361021042,0.8724421219458124,0.00698800782397701,0.5263715387754099,0.021864549790524285,0.4341880341880342,0.34048257372654156,0.5990566037735849,0.24866310160427807,0.8303571428571429,0.14622641509433962,0.018518518518518517,0.5,0.009433962264150943
elliptic,GCN,default,batch,2,0.8711246341969504,0.5823626278485522,,-1,34.5,0.07715435326099396,0.8701557567670344,0.0078001182361768185,0.5795901457833752,0.01883670885697447,0.43874643874643876,0.34405719392314565,0.6053459119496856,0.2807486631016043,0.9375,0.1650943396226415,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,GCN,default,batch,3,0.8766976898657945,0.5928187148095675,,-1,34.5,0.07000943273305893,0.8770120649717906,0.008002344765695123,0.5959587702525455,0.01933426062476195,0.4478632478632479,0.3512064343163539,0.6179245283018868,0.2807486631016043,0.9375,0.1650943396226415,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,default,batch,4,0.8681087714026088,0.579720360856937,,-1,34.5,0.07811405509710312,0.8674110603511871,0.007791945032874997,0.5789579023717816,0.020056332519648883,0.43988603988603986,0.3449508489722967,0.6069182389937107,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,GCN,default,layer,0,0.8638063372471578,0.6047020258386412,0.8244000521506957,358,90.0,0.07175365835428238,0.8661671307930381,0.009636511467475701,0.6092331115360209,0.01870014593239468,0.4717948717948718,0.3699731903485255,0.6509433962264151,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,layer,1,0.8620539408943363,0.6072028573766034,,-1,35.8,0.07646629959344864,0.8653260176124863,0.008275297878202316,0.6132292642964771,0.016823194718791144,0.45584045584045585,0.3574620196604111,0.6289308176100629,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,layer,2,0.8603716046202684,0.6164716454586971,,-1,35.8,0.06911840289831161,0.8597209660113906,0.009955859755783985,0.6143314676002762,0.017857114315696313,0.46609686609686607,0.36550491510277033,0.6430817610062893,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,layer,3,0.8583057266810246,0.5986608951011225,,-1,35.8,0.06994542479515076,0.8585037291940886,0.00958899999972222,0.5999913731806761,0.01921433277070871,0.4581196581196581,0.35924932975871315,0.6320754716981132,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,layer,4,0.8612284244770239,0.6185675372236095,,-1,35.8,0.07628317922353745,0.8601490028028594,0.008802558742287057,0.6163849985204645,0.01720367889308163,0.4717948717948718,0.3699731903485255,0.6509433962264151,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,graph,0,0.879674796020826,0.5725351483165184,0.8042655262560742,337,139.8,0.0737767219543457,0.8814863542340909,0.008389999873054912,0.5788850184613243,0.022317067340332602,0.4455840455840456,0.3494191242180518,0.6147798742138365,0.26737967914438504,0.8928571428571429,0.15723270440251572,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,default,graph,1,0.8706337664536841,0.5387394250209316,,-1,57.7,0.07873928546905518,0.8728287817939006,0.006966035475396299,0.5441772617519244,0.021197485137237796,0.43532763532763535,0.34137622877569257,0.60062893081761,0.25935828877005346,0.8660714285714286,0.15251572327044025,0.027777777777777776,0.75,0.014150943396226415
elliptic,GCN,default,graph,2,0.8654241288103739,0.5706117426600096,,-1,57.7,0.07554508000612259,0.864512554261567,0.00819955224098439,0.5680292425558979,0.019290207381162983,0.43988603988603986,0.3449508489722967,0.6069182389937107,0.2807486631016043,0.9375,0.1650943396226415,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,GCN,default,graph,3,0.8736187730005748,0.5733924687221709,,-1,57.7,0.07018755376338959,0.8739925326603861,0.008064195364889963,0.5772037346066354,0.02081441397687129,0.44672364672364673,0.35031277926720283,0.6163522012578616,0.2700534759358289,0.9017857142857143,0.15880503144654087,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,default,graph,4,0.8619814212596264,0.5616465355213992,,-1,57.7,0.07896221429109573,0.8611964829481863,0.008129826295734433,0.5610499471358048,0.020861138230070842,0.43304843304843305,0.33958891867739055,0.5974842767295597,0.2700534759358289,0.9017857142857143,0.15880503144654087,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,default,pair,0,0.8632886379843685,0.5801783963757567,0.7384229773590685,432,110.8,0.07596322894096375,0.8646248296691891,0.008942516501813904,0.583101871470977,0.019786521839130836,0.4319088319088319,0.3386952636282395,0.5959119496855346,0.28609625668449196,0.9553571428571429,0.16823899371069181,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,pair,1,0.8625618019333005,0.5937454352505472,,-1,45.8,0.07978834211826324,0.8647313803861411,0.007888366541771082,0.5979892023124032,0.018683305941460712,0.4376068376068376,0.34316353887399464,0.6037735849056604,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,pair,2,0.8566305454788293,0.5691620625239158,,-1,45.8,0.06318093091249466,0.8554258557335664,0.00827894408547988,0.5657158653841373,0.01888726380856374,0.42735042735042733,0.3351206434316354,0.589622641509434,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,GCN,default,pair,3,0.8624738541748652,0.5878835415818648,,-1,45.8,0.06834957003593445,0.8629539579623053,0.00843516062544273,0.5900942419481295,0.018213402991713992,0.43304843304843305,0.33958891867739055,0.5974842767295597,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,default,pair,4,0.8613087699715944,0.5758282622052698,,-1,45.8,0.07571200281381607,0.8601503167954734,0.008059071366277088,0.5745206176337855,0.019832765788149458,0.42962962962962964,0.33690795352993747,0.5927672955974843,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,GCN,xavier,none,0,0.8737606819260499,0.5788289172717394,0.7807521346556598,441,77.5,0.06675907224416733,0.875190900402233,0.008820884530949594,0.5832932212088017,0.02137233952251386,0.449002849002849,0.3521000893655049,0.6194968553459119,0.28342245989304815,0.9464285714285714,0.16666666666666666,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,xavier,none,1,0.8696392114633792,0.5508250889526473,,-1,31.0,0.06918387115001678,0.8717122508715537,0.007198782994356097,0.554252419789653,0.022440563563521376,0.4444444444444444,0.3485254691689008,0.6132075471698113,0.26737967914438504,0.8928571428571429,0.15723270440251572,0.027777777777777776,0.75,0.014150943396226415
elliptic,GCN,xavier,none,2,0.8698197279641674,0.5816741051302929,,-1,31.1,0.06958459317684174,0.8688050240980022,0.00797357725208147,0.5775356381107662,0.01842628806127705,0.4444444444444444,0.3485254691689008,0.6132075471698113,0.27540106951871657,0.9196428571428571,0.1619496855345912,0.040061633281972264,1.0,0.020440251572327043
elliptic,GCN,xavier,none,3,0.8727299043843896,0.5747098850498983,,-1,31.1,0.063357874751091,0.8727923976462943,0.008036078936246156,0.5769603556523225,0.01969639697495801,0.4444444444444444,0.3485254691689008,0.6132075471698113,0.27540106951871657,0.9196428571428571,0.1619496855345912,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,xavier,none,4,0.8702139277051537,0.5995442274141947,,-1,32.0,0.07235915213823318,0.8692227629277596,0.007725565264613618,0.5982585235541477,0.01774021719745927,0.4444444444444444,0.3485254691689008,0.6132075471698113,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,xavier,batch,0,0.8763640846397303,0.5801491266984029,0.796527423640137,406,85.2,0.07738055288791656,0.8778607040137232,0.008560847615573481,0.5857114887032955,0.02215325542386322,0.44216524216524217,0.34673815907059874,0.610062893081761,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,xavier,batch,1,0.8656493645103666,0.5130443728668085,,-1,34.4,0.08084162324666977,0.8677560994549333,0.007263618983519096,0.5174351515814936,0.021981551410187986,0.4319088319088319,0.3386952636282395,0.5959119496855346,0.2540106951871658,0.8482142857142857,0.14937106918238993,0.021604938271604937,0.5833333333333334,0.0110062893081761
elliptic,GCN,xavier,batch,2,0.8724273044697735,0.6008039675065954,,-1,34.4,0.07900004833936691,0.8714728489827249,0.007706188666715025,0.5973966259578938,0.017563429202840715,0.44672364672364673,0.35031277926720283,0.6163522012578616,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,xavier,batch,3,0.8697082280941513,0.5521467061507735,,-1,34.4,0.07481072843074799,0.8701271486827139,0.008080243101187627,0.5559013048298203,0.02094439187375807,0.4376068376068376,0.34316353887399464,0.6037735849056604,0.26737967914438504,0.8928571428571429,0.15723270440251572,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,xavier,batch,4,0.8696919801184403,0.5988758669758255,,-1,34.4,0.08301170915365219,0.8686692925644305,0.0077454905767824715,0.5967779449144501,0.01838401550412931,0.43646723646723645,0.34226988382484363,0.6022012578616353,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,xavier,layer,0,0.8722208508334467,0.6193106267093458,0.8163945939532953,321,89.7,0.08010905981063843,0.8742892876910859,0.00899109002661247,0.6237122367743843,0.0184320402146829,0.4831908831908832,0.37890974084003576,0.6666666666666666,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,xavier,layer,1,0.8654017692107717,0.6065314545770326,,-1,35.8,0.08606269210577011,0.8685829363198009,0.0080885246861364,0.6125585760643908,0.01737595971231754,0.46153846153846156,0.36193029490616624,0.6367924528301887,0.2914438502673797,0.9732142857142857,0.17138364779874213,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,xavier,layer,2,0.8549461223087986,0.606583647687588,,-1,35.7,0.07234866917133331,0.8541310674533282,0.009983563546745455,0.6039258689441586,0.01739862257255116,0.4717948717948718,0.3699731903485255,0.6509433962264151,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,xavier,layer,3,0.865047891281068,0.5843142309939906,,-1,35.7,0.07827804237604141,0.8650174925765366,0.009078373387184544,0.5859369218810255,0.019804635655417593,0.45584045584045585,0.3574620196604111,0.6289308176100629,0.28609625668449196,0.9553571428571429,0.16823899371069181,0.037037037037037035,1.0,0.018867924528301886
