dataset,model,init,norm,seed,auc,auprc,val_auprc,best_epoch,train_time_s,mad,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,GCN,default,layer,0,0.5931962449845726,0.21149522478876565,0.2500836407166165,299,166.6,0.0002938172547146678,0.5931414150376869,0.008177166077255797,0.2117125932395376,0.008246656749260154,0.23138297872340424,0.28369565217391307,0.19535928143712575,0.03221288515406162,0.25,0.01721556886227545,0.008915304606240713,0.6,0.004491017964071856
yelp,GCN,default,layer,1,0.5909240581972511,0.23036024774048908,,-1,66.6,0.00021064250904601067,0.5917462168377097,0.0074618863637997065,0.23199627323099375,0.010846345219399344,0.2349290780141844,0.28804347826086957,0.19835329341317365,0.06857942617214835,0.5268817204301075,0.036676646706586824,0.01188707280832095,0.8,0.005988023952095809
yelp,GCN,default,layer,2,0.6072128115205435,0.2410182661139647,,-1,66.6,0.0004252413345966488,0.6052230843798704,0.00898491924316433,0.23904357455817268,0.011021599285602209,0.2429078014184397,0.29782608695652174,0.20508982035928144,0.0741777466759972,0.5698924731182796,0.03967065868263473,0.01188707280832095,0.8,0.005988023952095809
yelp,GCN,default,layer,3,0.6051586205135553,0.2430898984764605,,-1,66.6,0.00031272118212655187,0.6047926334919876,0.008573351348051933,0.2444657507270322,0.011715865441930623,0.2473404255319149,0.3032608695652174,0.2088323353293413,0.06442577030812324,0.5,0.0344311377245509,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,default,layer,4,0.6367379008530801,0.28812882984264954,,-1,66.6,0.0013672317145392299,0.6374472792009935,0.009040249747540625,0.2904743826704662,0.013978261427571598,0.2712765957446808,0.33260869565217394,0.22904191616766467,0.09803921568627451,0.7608695652173914,0.05239520958083832,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,default,graph,0,0.6427905232051172,0.26804500569517054,0.27553267678827936,299,170.2,0.017914362251758575,0.6425953844552039,0.008869111183344675,0.2681810453940082,0.010080963440417486,0.25354609929078015,0.3108695652173913,0.21407185628742514,0.08403361344537816,0.6521739130434783,0.04491017964071856,0.007429420505200594,0.5,0.0037425149700598802
yelp,GCN,default,graph,1,0.6349799287626376,0.2684258852666471,,-1,68.1,0.017950501292943954,0.6347979214360963,0.007626949313615261,0.26976895876474805,0.011711845400792538,0.26063829787234044,0.31956521739130433,0.22005988023952097,0.07703081232492998,0.5978260869565217,0.04116766467065868,0.01188707280832095,0.8,0.005988023952095809
yelp,GCN,default,graph,2,0.642261683354269,0.2850359426953514,,-1,68.2,0.019370436668395996,0.6403166041236464,0.009458121369205241,0.2822860075457033,0.012845419825301208,0.26684397163120566,0.32717391304347826,0.2252994011976048,0.09803921568627451,0.7608695652173914,0.05239520958083832,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,default,graph,3,0.6409688102156177,0.2831694546689431,,-1,68.2,0.015950150787830353,0.640348889900794,0.007912465571361675,0.28430739253661363,0.012532576473200921,0.2695035460992908,0.33043478260869563,0.2275449101796407,0.09103641456582633,0.7065217391304348,0.048652694610778445,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,default,graph,4,0.6497682460943693,0.2967541948379255,,-1,68.1,0.01535051316022873,0.6501965357175864,0.008740774988594394,0.29950716139884437,0.014195288172873459,0.2828014184397163,0.3467391304347826,0.23877245508982037,0.0938375350140056,0.7282608695652174,0.050149700598802395,0.01337295690936107,0.9,0.006736526946107785
