dataset,model,norm,init,seed,layers,mean_degree,n_nodes,saturation,auc,auprc,mad,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9,mad_random
amazon,GCN,none,default,1,1,736.5,11944,0.061663,0.833745999319033,0.3664614523413343,0.00043985992670059204,25.2,0.8352000888265964,0.01605578565011629,0.3743366783708542,0.037167670464452164,0.3910891089108911,0.3305439330543933,0.47878787878787876,0.1164021164021164,0.4583333333333333,0.06666666666666667,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.003974305000156164
amazon,GCN,none,default,2,1,736.5,11944,0.061663,0.8618781069118148,0.4559663515890246,0.000472463812911883,25.2,0.8640467135429684,0.016415711324174583,0.46032489682352157,0.042504514471366536,0.42574257425742573,0.3598326359832636,0.5212121212121212,0.19047619047619047,0.75,0.10909090909090909,0.03571428571428571,1.0,0.01818181818181818,0.0044543202966451645
amazon,GCN,none,default,3,1,736.5,11944,0.061663,0.8084603336738168,0.3421947654171269,0.0005148498457856476,25.2,0.809149685913579,0.016946905370096972,0.3490914179647166,0.036326176726161945,0.3712871287128713,0.3138075313807531,0.45454545454545453,0.14814814814814814,0.5833333333333334,0.08484848484848485,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.00479105906561017
amazon,GCN,graph,default,1,1,736.5,11944,0.061663,0.833745999319033,0.3664614523413343,0.00043985992670059204,25.2,0.8352000888265964,0.01605578565011629,0.3743366783708542,0.037167670464452164,0.3910891089108911,0.3305439330543933,0.47878787878787876,0.1164021164021164,0.4583333333333333,0.06666666666666667,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.003974305000156164
amazon,GCN,graph,default,2,1,736.5,11944,0.061663,0.8618781069118148,0.4559663515890246,0.0004724643658846617,25.2,0.8640467135429684,0.016415711324174586,0.46032489682352157,0.042504514471366536,0.42574257425742573,0.3598326359832636,0.5212121212121212,0.19047619047619047,0.75,0.10909090909090909,0.03571428571428571,1.0,0.01818181818181818,0.004454319830983877
amazon,GCN,graph,default,3,1,736.5,11944,0.061663,0.8084603336738168,0.3421947654171269,0.0005148503114469349,25.2,0.809149685913579,0.016946905370096972,0.3490914179647166,0.036326176726161945,0.3712871287128713,0.3138075313807531,0.45454545454545453,0.14814814814814814,0.5833333333333334,0.08484848484848485,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.004791058134287596
amazon,GAT,none,default,1,1,736.5,11944,0.061663,0.6492339121552604,0.11933278405222245,0.14421385526657104,41.1,0.6507145961171168,0.016834489915154308,0.12483521934706472,0.015621854316830984,0.14356435643564355,0.12133891213389121,0.17575757575757575,0.06091370558375635,0.1875,0.03636363636363636,0.011904761904761904,0.3333333333333333,0.006060606060606061,0.2075524479150772
amazon,GAT,none,default,2,1,736.5,11944,0.061663,0.8448893428668711,0.35121430784957314,0.003776442026719451,41.0,0.8486508656961174,0.018116485832248376,0.36229752413329963,0.03746256954752699,0.44554455445544555,0.37656903765690375,0.5454545454545454,0.15873015873015872,0.625,0.09090909090909091,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.01836099661886692
amazon,GAT,none,default,3,1,736.5,11944,0.061663,0.8349771876064012,0.3332376850731494,0.006902908906340599,41.0,0.8316396177525889,0.016882364739106447,0.342861325744587,0.03432914708236032,0.42574257425742573,0.3598326359832636,0.5212121212121212,0.12698412698412698,0.5,0.07272727272727272,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.018235115334391594
amazon,GAT,graph,default,1,1,736.5,11944,0.061663,0.6492979230507321,0.12046381549959781,0.14421387016773224,41.0,0.6507556338698695,0.016861853079338674,0.12539359172769998,0.015498820514898835,0.14356435643564355,0.12133891213389121,0.17575757575757575,0.10666666666666667,0.2,0.07272727272727272,0.023255813953488372,0.2857142857142857,0.012121212121212121,0.2075524479150772
amazon,GAT,graph,default,2,1,736.5,11944,0.061663,0.8448866189989785,0.35099986646466036,0.003775806864723563,41.0,0.8486483791913078,0.018118207593889248,0.3621064346878436,0.03741880958979637,0.44554455445544555,0.37656903765690375,0.5454545454545454,0.15873015873015872,0.625,0.09090909090909091,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.01835460774600506
amazon,GAT,graph,default,3,1,736.5,11944,0.061663,0.8352795369424583,0.3330352498200008,0.006852962542325258,41.0,0.8319494240852028,0.016846807123347064,0.3428131702989125,0.03437587750404923,0.42574257425742573,0.3598326359832636,0.5212121212121212,0.13756613756613756,0.5416666666666666,0.07878787878787878,0.023809523809523808,0.6666666666666666,0.012121212121212121,0.01820451021194458
amazon,SAGE,none,default,1,1,736.5,11944,0.061663,0.9266339802519578,0.7666554058653108,0.1892348825931549,3.6,0.9269245627037891,0.014982932720907532,0.769773125043826,0.03676990964687449,0.6386138613861386,0.5397489539748954,0.7818181818181819,0.24338624338624337,0.9583333333333334,0.1393939393939394,0.05847953216374269,0.8333333333333334,0.030303030303030304,0.13620732724666595
amazon,SAGE,none,default,2,1,736.5,11944,0.061663,0.962614913176711,0.8601648772021575,0.13756869733333588,3.5,0.9623917462762382,0.0106104547022229,0.8591935437458447,0.02698569218294117,0.693069306930693,0.5857740585774058,0.8484848484848485,0.24338624338624337,0.9583333333333334,0.1393939393939394,0.08139534883720931,1.0,0.04242424242424243,0.09922835230827332
amazon,SAGE,none,default,3,1,736.5,11944,0.061663,0.9505522642151856,0.8084693975029317,0.20942378044128418,3.6,0.9507538984621436,0.008454666590893672,0.8131809755783518,0.030795656701657213,0.6534653465346535,0.5523012552301255,0.8,0.24338624338624337,0.9583333333333334,0.1393939393939394,0.12429378531073447,0.9166666666666666,0.06666666666666667,0.14655639231204987
amazon,SAGE,graph,default,1,1,736.5,11944,0.061663,0.9266339802519578,0.7666554058653108,0.1892348825931549,3.6,0.9269245627037891,0.014982932720907532,0.769773125043826,0.03676990964687449,0.6386138613861386,0.5397489539748954,0.7818181818181819,0.24338624338624337,0.9583333333333334,0.1393939393939394,0.05847953216374269,0.8333333333333334,0.030303030303030304,0.13620732724666595
amazon,SAGE,graph,default,2,1,736.5,11944,0.061663,0.9626149131767109,0.8601648772021574,0.13756869733333588,3.6,0.9623917462762382,0.010610454702222898,0.8591935437458449,0.026985692182941175,0.693069306930693,0.5857740585774058,0.8484848484848485,0.24338624338624337,0.9583333333333334,0.1393939393939394,0.08139534883720931,1.0,0.04242424242424243,0.09922835975885391
amazon,SAGE,graph,default,3,1,736.5,11944,0.061663,0.9505522642151856,0.8084693975029317,0.20942378044128418,3.6,0.9507538984621436,0.008454666590893672,0.8131809755783518,0.030795656701657213,0.6534653465346535,0.5523012552301255,0.8,0.24338624338624337,0.9583333333333334,0.1393939393939394,0.12429378531073447,0.9166666666666666,0.06666666666666667,0.14655639231204987
