dataset,model,init,norm,seed,auc,auprc,val_auprc,best_epoch,train_time_s,mad,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
amazon,GCN,default,layer,2,0.7922179094313927,0.30023309193514586,,-1,72.8,0.0010817586444318295,0.7946679893597309,0.018896049513037264,0.3047906029403577,0.037546409788907074,0.32673267326732675,0.27615062761506276,0.4,0.21164021164021163,0.8333333333333334,0.12121212121212122,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,layer,3,0.7815212802179095,0.23271178544639842,,-1,72.9,0.0008496576338075101,0.7825881308075247,0.01650713571765599,0.23767859193331214,0.027438522060787028,0.29207920792079206,0.24686192468619247,0.3575757575757576,0.12698412698412698,0.5,0.07272727272727272,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,layer,4,0.7869839972761321,0.2444311089073658,,-1,72.9,0.0009347457089461386,0.7868684107515408,0.01872852469301603,0.24661084602837907,0.026856883353126637,0.297029702970297,0.2510460251046025,0.36363636363636365,0.1164021164021164,0.4583333333333333,0.06666666666666667,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,graph,0,0.826288049029622,0.3268755371411222,0.3255574829633705,297,182.1,0.024339528754353523,0.8257201875715401,0.017795415621803996,0.34157409926239884,0.037412905884826646,0.3910891089108911,0.3305439330543933,0.47878787878787876,0.12698412698412698,0.5,0.07272727272727272,0.0,0.0,0.0
amazon,GCN,default,graph,1,0.8176179775280898,0.34487445178971043,,-1,73.1,0.0192362442612648,0.8192372211541716,0.016570094874618677,0.35181858176593833,0.04122063335360184,0.400990099009901,0.3389121338912134,0.4909090909090909,0.14814814814814814,0.5833333333333334,0.08484848484848485,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,graph,2,0.8459679945522641,0.40466791403406377,,-1,73.1,0.02114608697593212,0.8479232131161478,0.017611392794042058,0.4109385190941689,0.04010529550036974,0.4306930693069307,0.36401673640167365,0.5272727272727272,0.1693121693121693,0.6666666666666666,0.09696969696969697,0.03571428571428571,1.0,0.01818181818181818
amazon,GCN,default,graph,3,0.8221232550221315,0.34023819322847,,-1,73.1,0.02242104895412922,0.8225559302749116,0.015612250830229006,0.34617628131143313,0.035281263394281275,0.4158415841584158,0.3514644351464435,0.509090909090909,0.14814814814814814,0.5833333333333334,0.08484848484848485,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,default,graph,4,0.8359986380660538,0.3769680378525856,,-1,73.1,0.022046659141778946,0.8344380471338713,0.018820763574929924,0.3788989945186303,0.03902942927337396,0.39603960396039606,0.33472803347280333,0.48484848484848486,0.15873015873015872,0.625,0.09090909090909091,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,pair,0,0.7874702076949268,0.23941364589650427,0.29573521141738196,4,181.6,0.0007548995781689882,0.7867454770804937,0.018372978510754114,0.24852318681878072,0.027134548068735543,0.3613861386138614,0.3054393305439331,0.44242424242424244,0.06349206349206349,0.25,0.03636363636363636,0.0,0.0,0.0
amazon,GCN,default,pair,1,0.7885216207013959,0.2645545450486531,,-1,72.9,0.0008000590605661273,0.7901355076833666,0.01748205723877018,0.2710709795132672,0.031840813621317306,0.3712871287128713,0.3138075313807531,0.45454545454545453,0.10582010582010581,0.4166666666666667,0.06060606060606061,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,pair,2,0.8257296561116786,0.3272426930790276,,-1,72.9,0.0005709614488296211,0.8275248932763187,0.01893353159395078,0.3366628158887422,0.03942723662952404,0.4207920792079208,0.35564853556485354,0.5151515151515151,0.14814814814814814,0.5833333333333334,0.08484848484848485,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,default,pair,3,0.7844031324480762,0.2505030272795212,,-1,72.9,0.0009222051594406366,0.7849071193753762,0.016669783182701604,0.2542224819950106,0.02619626233781704,0.3564356435643564,0.301255230125523,0.43636363636363634,0.07407407407407407,0.2916666666666667,0.04242424242424243,0.03571428571428571,1.0,0.01818181818181818
amazon,GCN,default,pair,4,0.8134341164453525,0.28770922942499905,,-1,72.9,0.0007894026930443943,0.8108613411608665,0.02027659545082876,0.28938249139586963,0.031612195231694694,0.37623762376237624,0.3179916317991632,0.46060606060606063,0.09523809523809523,0.375,0.05454545454545454,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,xavier,none,0,0.7960830779707184,0.25666771158395235,0.2796388047657086,78,180.6,7.84668154665269e-05,0.7955827840278431,0.018350190047622703,0.26736195322720585,0.031018504329274974,0.33663366336633666,0.28451882845188287,0.4121212121212121,0.08465608465608465,0.3333333333333333,0.048484848484848485,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,none,1,0.790708886618999,0.2600868965426026,,-1,72.6,5.5216860346263275e-05,0.7921107214515343,0.017395963325039867,0.2692336498192651,0.033073786002144334,0.3712871287128713,0.3138075313807531,0.45454545454545453,0.09523809523809523,0.375,0.05454545454545454,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,none,2,0.8225045965270683,0.3334909472733159,,-1,72.6,8.037846419028938e-05,0.8246285187937313,0.018246528899809326,0.3387887321733164,0.039910437279235884,0.3712871287128713,0.3138075313807531,0.45454545454545453,0.1693121693121693,0.6666666666666666,0.09696969696969697,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,xavier,none,3,0.796287368062649,0.2716176814676683,,-1,72.6,5.757651160820387e-05,0.7968726536665451,0.015781474380337814,0.2768592067255071,0.030270941194467785,0.3217821782178218,0.2719665271966527,0.3939393939393939,0.12698412698412698,0.5,0.07272727272727272,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,none,4,0.8142703438883214,0.28779289495720395,,-1,72.6,9.345391299575567e-05,0.8130875954921354,0.019194690057581378,0.29057248437948213,0.03252331750546178,0.3217821782178218,0.2719665271966527,0.3939393939393939,0.13756613756613756,0.5416666666666666,0.07878787878787878,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,batch,0,0.8200939734422881,0.3185406880774677,0.34228449721456794,297,181.4,0.0344194658100605,0.819608180064835,0.018175692861904104,0.3327552140493343,0.03790834952515976,0.3712871287128713,0.3138075313807531,0.45454545454545453,0.10582010582010581,0.4166666666666667,0.06060606060606061,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,batch,1,0.821518556350017,0.35221039187373043,,-1,72.9,0.034562818706035614,0.8231982245248866,0.01638330927792269,0.35965154882492617,0.04037761044370494,0.43564356435643564,0.3682008368200837,0.5333333333333333,0.13756613756613756,0.5416666666666666,0.07878787878787878,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,batch,2,0.8659121552604699,0.465770031191245,,-1,72.8,0.036789268255233765,0.8675622721244853,0.016285555548536303,0.4691608820044894,0.040932925061163805,0.4504950495049505,0.3807531380753138,0.5515151515151515,0.17989417989417988,0.7083333333333334,0.10303030303030303,0.03571428571428571,1.0,0.01818181818181818
amazon,GCN,xavier,batch,3,0.8377854954034729,0.3797442354710355,,-1,72.9,0.03933374956250191,0.8378873277691882,0.014963116475655597,0.38391186281582407,0.035425024595336106,0.40594059405940597,0.34309623430962344,0.49696969696969695,0.1693121693121693,0.6666666666666666,0.09696969696969697,0.023809523809523808,0.6666666666666666,0.012121212121212121
amazon,GCN,xavier,batch,4,0.8404766768811712,0.39070307126523535,,-1,72.8,0.035850122570991516,0.8389880860574216,0.017964829577355543,0.3897362257265711,0.04105362212439421,0.42574257425742573,0.3598326359832636,0.5212121212121212,0.1693121693121693,0.6666666666666666,0.09696969696969697,0.03571428571428571,1.0,0.01818181818181818
amazon,GCN,xavier,layer,0,0.7780674157303371,0.20964714675188287,0.24027218474991408,147,181.5,0.00044109582086093724,0.7784088538859443,0.018942040935903487,0.22007934285915262,0.027578820755618474,0.30198019801980197,0.25523012552301255,0.3696969696969697,0.07407407407407407,0.2916666666666667,0.04242424242424243,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,layer,1,0.7795192373169901,0.23648720415144994,,-1,72.9,0.0004226671298965812,0.7807246372968369,0.01618489914529411,0.24513737861252924,0.03393288765131948,0.29207920792079206,0.24686192468619247,0.3575757575757576,0.14814814814814814,0.5833333333333334,0.08484848484848485,0.011904761904761904,0.3333333333333333,0.006060606060606061
amazon,GCN,xavier,layer,2,0.7974940415389853,0.2946289998142157,,-1,72.8,0.0006061085732653737,0.7999110417631553,0.018678719218589424,0.2995935536524535,0.03724148438010433,0.3415841584158416,0.28870292887029286,0.41818181818181815,0.21164021164021163,0.8333333333333334,0.12121212121212122,0.023809523809523808,0.6666666666666666,0.012121212121212121
