dataset,relation,mean_degree,n_nodes,n_edges,model,norm,init,seed,layers,auc,auprc,mad,mad_random,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rtr,24.96,45954,1147232,GCN,graph,default,2,2,0.6214177900563436,0.23712917051970692,0.020044801756739616,0.3905857801437378,12.9,0.6208982012378452,0.009562737681844673,0.23655520756816217,0.010552988233519491,0.23393885688967656,0.28664495114006516,0.19760479041916168,0.06997900629811056,0.5376344086021505,0.0374251497005988,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rtr,24.96,45954,1147232,GCN,graph,default,3,2,0.6431886894490042,0.2590556225950394,0.017124198377132416,0.3805494010448456,13.0,0.6437411240405355,0.00785043234699693,0.2612970573954052,0.010963535458753237,0.25443262411347517,0.3119565217391304,0.2148203592814371,0.07703081232492998,0.5978260869565217,0.04116766467065868,0.008915304606240713,0.6,0.004491017964071856
yelp,net_rtr,24.96,45954,1147232,GAT,none,default,1,2,0.5854603960358306,0.19803403791488491,0.0003129902761429548,0.016173845157027245,19.6,0.585400576049429,0.008001654979073873,0.19916412734057753,0.008892634257446656,0.19680851063829788,0.24130434782608695,0.1661676646706587,0.04481792717086835,0.34782608695652173,0.023952095808383235,0.004457652303120356,0.3,0.002245508982035928
yelp,net_rtr,24.96,45954,1147232,GAT,none,default,2,2,0.5682998977858946,0.1908900124254577,0.0002763864176813513,0.015875745564699173,19.7,0.5675029365536438,0.008354987011955192,0.18962248238366058,0.007622759921260594,0.1824623560673162,0.22342733188720174,0.15419161676646706,0.04201680672268908,0.32608695652173914,0.02245508982035928,0.008915304606240713,0.6,0.004491017964071856
yelp,net_rtr,24.96,45954,1147232,GAT,none,default,3,2,0.6040795032897545,0.21957201671854076,0.00019827876531053334,0.011707588098943233,19.8,0.60447274030903,0.007329054548337625,0.22079498109888435,0.00955677077441748,0.22153300841825432,0.2714440825190011,0.18712574850299402,0.049019607843137254,0.3804347826086957,0.02619760479041916,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rtr,24.96,45954,1147232,GAT,layer,default,1,2,0.5837103320090979,0.19862553910917585,0.00046008452773094177,0.024806339293718338,20.0,0.5837544337624131,0.007979507951027077,0.20002883504436744,0.00911436048382108,0.19309123117803365,0.23644251626898047,0.1631736526946108,0.05182072829131653,0.40217391304347827,0.027694610778443114,0.0029717682020802376,0.2,0.0014970059880239522
yelp,net_rtr,24.96,45954,1147232,GAT,layer,default,2,2,0.5960626322456919,0.20924984484030987,0.0006881636800244451,0.039219629019498825,20.0,0.5949373423316141,0.008766148336327557,0.2079329211998559,0.008591828014961483,0.19743249225320939,0.24160346695557963,0.16691616766467066,0.055944055944055944,0.425531914893617,0.029940119760479042,0.008915304606240713,0.6,0.004491017964071856
yelp,net_rtr,24.96,45954,1147232,GAT,layer,default,3,2,0.5989591749545715,0.21632077652965623,0.0003449447685852647,0.02056679129600525,20.0,0.5992582522267556,0.007258676118435151,0.2178754746149377,0.010020390555430258,0.21453900709219859,0.26304347826086955,0.18113772455089822,0.05182072829131653,0.40217391304347827,0.027694610778443114,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rtr,24.96,45954,1147232,GAT,graph,default,1,2,0.6146646847598083,0.2232305412322793,0.017254335805773735,0.49226802587509155,21.5,0.6146012154058298,0.007505769679243763,0.22450291730891903,0.010218318112004205,0.22340425531914893,0.27391304347826084,0.18862275449101795,0.05458362491252624,0.41935483870967744,0.029191616766467067,0.004454342984409799,0.2727272727272727,0.002245508982035928
yelp,net_rtr,24.96,45954,1147232,GAT,graph,default,2,2,0.6152142475486908,0.23304211126307514,0.015614163130521774,0.48170968890190125,21.4,0.6142038983731577,0.00981222137986258,0.23209097885688487,0.009959811978380001,0.22684980062029242,0.2779587404994571,0.19161676646706588,0.06442577030812324,0.5,0.0344311377245509,0.007429420505200594,0.5,0.0037425149700598802
