dataset,model,norm,stats,seed,init,layers,n_stat_nodes,auc,auprc,mad,mad_random,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
elliptic,GCN,none,all,1,default,2,203769,0.8656210423508703,0.5365499282815303,0.07051471620798111,0.3874131143093109,32.1,0.8677120799539818,0.0070958827245634565,0.5401376509366967,0.021785563742744134,0.43988603988603986,0.3449508489722967,0.6069182389937107,0.25668449197860965,0.8571428571428571,0.1509433962264151,0.024691358024691357,0.6666666666666666,0.012578616352201259
elliptic,GCN,none,all,2,default,2,203769,0.8686053035777745,0.58337527881863,0.06501778960227966,0.349762886762619,31.2,0.8675118518358884,0.007882360510984083,0.5790959741287244,0.01889258022479476,0.4444444444444444,0.3485254691689008,0.6132075471698113,0.2807486631016043,0.9375,0.1650943396226415,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,none,all,3,default,2,203769,0.8706139409420368,0.5771212040495537,0.061410289257764816,0.3515278398990631,31.2,0.8707512875519644,0.008194712700727776,0.5794488069709903,0.020290959021271687,0.441025641025641,0.34584450402144773,0.6084905660377359,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,layer,all,1,default,2,203769,0.8623638449448224,0.6093378169292712,0.07630588859319687,0.4592396914958954,36.1,0.8656498603100219,0.00829167091771289,0.6153417142300655,0.01669198605851911,0.45925925925925926,0.36014298480786416,0.6336477987421384,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,layer,all,2,default,2,203769,0.8605509286090779,0.617472262002434,0.06945232301950455,0.4276372492313385,36.2,0.8599286211355096,0.00999290989811823,0.6153044299399354,0.0178884776600592,0.4717948717948718,0.3699731903485255,0.6509433962264151,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,layer,all,3,default,2,203769,0.8595458646069599,0.6004223808908814,0.07043427973985672,0.44056016206741333,36.1,0.8597808128657215,0.00949259283987623,0.601724125426463,0.019162945227189386,0.4603988603988604,0.3610366398570152,0.6352201257861635,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,batch,all,1,default,2,203769,0.871156086700391,0.5273367178913756,0.07634031027555466,0.44661739468574524,47.7,0.8734057020870813,0.006896566700562672,0.5321147494631492,0.02172623238502448,0.43304843304843305,0.33958891867739055,0.5974842767295597,0.2540106951871658,0.8482142857142857,0.14937106918238993,0.024691358024691357,0.6666666666666666,0.012578616352201259
elliptic,GCN,batch,all,2,default,2,203769,0.8688126515980852,0.5705436553882968,0.07482051849365234,0.4083723723888397,47.7,0.8678566469419328,0.007957608454124196,0.5676345943241676,0.019241328872641298,0.43874643874643876,0.34405719392314565,0.6053459119496856,0.27540106951871657,0.9196428571428571,0.1619496855345912,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,GCN,batch,all,3,default,2,203769,0.8770289100679016,0.5906743308882806,0.06918829679489136,0.4042307436466217,47.7,0.8773439692358339,0.00805260744788278,0.593935026832647,0.019375143243412028,0.4478632478632479,0.3512064343163539,0.6179245283018868,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,graph,all,1,default,2,203769,0.8675439679166577,0.5218256726583955,0.07778353989124298,0.44912078976631165,51.4,0.8698096532691298,0.007006245878763545,0.5273095932231372,0.021568814645222915,0.43304843304843305,0.33958891867739055,0.5974842767295597,0.25133689839572193,0.8392857142857143,0.14779874213836477,0.018518518518518517,0.5,0.009433962264150943
elliptic,GCN,graph,all,2,default,2,203769,0.8685426966988884,0.579364953532595,0.07783821225166321,0.41567865014076233,51.4,0.8676251716573126,0.008044757049673315,0.5760351322178148,0.01857563709731408,0.43874643874643876,0.34405719392314565,0.6053459119496856,0.28342245989304815,0.9464285714285714,0.16666666666666666,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,graph,all,3,default,2,203769,0.8729560344683664,0.5800771701269059,0.07038844376802444,0.40090304613113403,51.4,0.873410906903711,0.008094564822256574,0.5837922869927042,0.02040416128664496,0.441025641025641,0.34584450402144773,0.6084905660377359,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,SAGE,none,all,1,default,2,203769,0.8800674305898403,0.6613726751819108,0.2173416018486023,0.3998335301876068,17.7,0.8816367389277657,0.007425676007341389,0.6652386634023273,0.016270633614527172,0.46951566951566953,0.3681858802502234,0.6477987421383647,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,none,all,2,default,2,203769,0.8762078655705097,0.6626921510576911,0.2352210432291031,0.42549702525138855,17.7,0.8755171550333779,0.008282277427704937,0.6614359780062243,0.01672101927595419,0.47635327635327634,0.3735478105451296,0.6572327044025157,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,none,all,3,default,2,203769,0.8741712041747459,0.6594551704101969,0.22672736644744873,0.40551304817199707,17.7,0.8748066129313689,0.00850743788444845,0.6607852675916849,0.01782567987093494,0.46609686609686607,0.36550491510277033,0.6430817610062893,0.2994652406417112,1.0,0.1761006289308176,0.040061633281972264,1.0,0.020440251572327043
elliptic,SAGE,layer,all,1,default,2,203769,0.8982690390499972,0.661148744939637,0.2301941215991974,0.4110599160194397,19.1,0.9004095041906252,0.006091095547377442,0.6659439776296359,0.015533150622266368,0.47635327635327634,0.3735478105451296,0.6572327044025157,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,layer,all,2,default,2,203769,0.8897343798818459,0.6599876863548347,0.24795089662075043,0.4412591755390167,19.1,0.889306882054068,0.00653105699280563,0.6585020330885881,0.016649960186548806,0.47293447293447294,0.3708668453976765,0.6525157232704403,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,layer,all,3,default,2,203769,0.8933087854742502,0.6626996679579383,0.24389591813087463,0.42339766025543213,19.1,0.8937232194290492,0.006951827322748618,0.6635556416498631,0.01825241631144432,0.4740740740740741,0.3717605004468275,0.6540880503144654,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,batch,all,1,default,2,203769,0.8676596415785996,0.6475217709401448,0.2365044206380844,0.4081878364086151,26.0,0.8691044088137241,0.008224962624234148,0.6509189253930479,0.016447097978847487,0.46267806267806266,0.36282394995531725,0.6383647798742138,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,batch,all,2,default,2,203769,0.8634514158694724,0.6569668290296002,0.24351876974105835,0.4182514548301697,26.0,0.8626880730044216,0.009253432250208806,0.6554915080064235,0.016543395595117864,0.4774928774928775,0.3744414655942806,0.6588050314465409,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,batch,all,3,default,2,203769,0.8671953072268611,0.6520510817919402,0.24632138013839722,0.40725430846214294,26.0,0.8679850396532846,0.00909319624100886,0.653207254490912,0.017959891527913788,0.46495726495726497,0.3646112600536193,0.6415094339622641,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,graph,all,1,default,2,203769,0.8691932119833145,0.647587476603671,0.2370457798242569,0.4065181314945221,27.9,0.8706479457079023,0.008045328884214735,0.6510739214709949,0.01624770489183728,0.46267806267806266,0.36282394995531725,0.6383647798742138,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,graph,all,2,default,2,203769,0.8632564401609414,0.6566032113524006,0.24379804730415344,0.4178675413131714,27.9,0.8625213084709479,0.009273916688855804,0.6551804701825331,0.016522908730520872,0.4752136752136752,0.3726541554959786,0.6556603773584906,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,graph,all,3,default,2,203769,0.8699568668417272,0.6563058936562111,0.2507222294807434,0.4168539047241211,27.9,0.8706519852506182,0.008946037577246034,0.6573382357918969,0.01801041095839756,0.4672364672364672,0.36639857015192134,0.6446540880503144,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,none,notest,1,default,2,192585,0.8655143125287693,0.5384346368606349,0.07049538195133209,0.3876453936100006,31.3,0.8676190338427555,0.007101694822971802,0.5421678701043731,0.02167347953754692,0.441025641025641,0.34584450402144773,0.6084905660377359,0.25668449197860965,0.8571428571428571,0.1509433962264151,0.027777777777777776,0.75,0.014150943396226415
elliptic,GCN,none,notest,2,default,2,192585,0.8684200170290711,0.5838446689126716,0.0649164691567421,0.3498450815677643,31.3,0.8673230236502597,0.007890057387951318,0.5795854221683653,0.01894115315858627,0.44672364672364673,0.35031277926720283,0.6163522012578616,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,none,notest,3,default,2,192585,0.8703702213063729,0.5770269873996773,0.061549894511699677,0.3522477149963379,31.3,0.8704933210621949,0.00820824790538489,0.5793120548896487,0.02024507534806677,0.441025641025641,0.34584450402144773,0.6084905660377359,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,layer,notest,1,default,2,192585,0.861348420994889,0.6063268055014541,0.07657192647457123,0.4593334496021271,36.1,0.8646266736754421,0.008362413007404805,0.6123849926214531,0.016836769425213997,0.45356125356125354,0.355674709562109,0.6257861635220126,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,layer,notest,2,default,2,192585,0.8610653484639252,0.6158290279564036,0.06973626464605331,0.4275645911693573,36.1,0.8603821358885761,0.009849648067703571,0.6135942153954325,0.01781767160875644,0.46267806267806266,0.36282394995531725,0.6383647798742138,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,layer,notest,3,default,2,192585,0.8596358247293594,0.6000499469603878,0.07047455757856369,0.44016405940055847,36.1,0.8598899984797298,0.009454723106511301,0.6013711726719457,0.01913161634633961,0.4603988603988604,0.3610366398570152,0.6352201257861635,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,GCN,batch,notest,1,default,2,192585,0.8745045112728158,0.5447772561445468,0.07750792056322098,0.45426493883132935,49.8,0.8767503536064658,0.006784059493495628,0.550250481700329,0.02072800129740522,0.43874643874643876,0.34405719392314565,0.6053459119496856,0.25935828877005346,0.8660714285714286,0.15251572327044025,0.027777777777777776,0.75,0.014150943396226415
elliptic,GCN,batch,notest,2,default,2,192585,0.8676674674384606,0.5749287411522017,0.0739038735628128,0.409283310174942,49.8,0.8667966879913077,0.008007387146485445,0.571430788992823,0.018122183774243645,0.43874643874643876,0.34405719392314565,0.6053459119496856,0.28342245989304815,0.9464285714285714,0.16666666666666666,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,batch,notest,3,default,2,192585,0.8769551233892144,0.588645497766209,0.0691094696521759,0.40202581882476807,49.8,0.8772545349129957,0.008039699400401874,0.5917281687558654,0.019588242850989993,0.4455840455840456,0.3494191242180518,0.6147798742138365,0.27807486631016043,0.9285714285714286,0.16352201257861634,0.033950617283950615,0.9166666666666666,0.01729559748427673
elliptic,GCN,graph,notest,1,default,2,192585,0.8705107886558721,0.5512358430494362,0.07851086556911469,0.4527173936367035,53.3,0.8727389258094148,0.0069176880176441,0.5563329009099498,0.020312341572999913,0.43874643874643876,0.34405719392314565,0.6053459119496856,0.2647058823529412,0.8839285714285714,0.15566037735849056,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,graph,notest,2,default,2,192585,0.8669416748353738,0.5715349604259249,0.07596947997808456,0.4091709554195404,53.3,0.8660999427766695,0.008211674330893946,0.5686194084864877,0.01907304420355275,0.441025641025641,0.34584450402144773,0.6084905660377359,0.2887700534759358,0.9642857142857143,0.16981132075471697,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,GCN,graph,notest,3,default,2,192585,0.8736825723914396,0.5732722437608011,0.07003778964281082,0.4036042392253876,53.3,0.8739664822334298,0.00819461303716297,0.5767853393569419,0.021050998784610194,0.4455840455840456,0.3494191242180518,0.6147798742138365,0.26737967914438504,0.8928571428571429,0.15723270440251572,0.030864197530864196,0.8333333333333334,0.015723270440251572
elliptic,SAGE,none,notest,1,default,2,192585,0.879973073079519,0.6615823489025748,0.21729329228401184,0.3997446894645691,17.7,0.8815544549249494,0.007437257122497734,0.6654503997363131,0.01624932345531539,0.46951566951566953,0.3681858802502234,0.6477987421383647,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,none,notest,2,default,2,192585,0.876046429261382,0.6628429518340659,0.23536238074302673,0.4255984425544739,17.7,0.8753544439493653,0.008290257729929439,0.6615653639634543,0.01672034793124104,0.47635327635327634,0.3735478105451296,0.6572327044025157,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,none,notest,3,default,2,192585,0.8748853697860395,0.6599701598584129,0.22679294645786285,0.40540966391563416,17.7,0.8755060339946755,0.00844996152375007,0.6612977589759518,0.01779181090812387,0.4683760683760684,0.3672922252010724,0.6462264150943396,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,layer,notest,1,default,2,192585,0.8981272791885194,0.6603210856681421,0.23055048286914825,0.4113498032093048,19.1,0.9002623788176349,0.006103684685527224,0.6650946278161824,0.01551492986018775,0.4740740740740741,0.3717605004468275,0.6540880503144654,0.29411764705882354,0.9821428571428571,0.17295597484276728,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,layer,notest,2,default,2,192585,0.8896081226760923,0.6598753420345058,0.24833422899246216,0.4411799907684326,19.1,0.8891923118006874,0.006524569851634577,0.6583861997738978,0.016640421525573146,0.47293447293447294,0.3708668453976765,0.6525157232704403,0.2967914438502674,0.9910714285714286,0.17452830188679244,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,layer,notest,3,default,2,192585,0.8930542586987786,0.6620803486174516,0.2437644749879837,0.4232665002346039,19.1,0.8934842224946575,0.006916717235401204,0.6629868905670047,0.01822090922429207,0.4740740740740741,0.3717605004468275,0.6540880503144654,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,batch,notest,1,default,2,192585,0.8691474493361285,0.6490931696169909,0.2413863241672516,0.411799818277359,27.1,0.8705283152832679,0.008298586184524214,0.6524357614279264,0.016190394497877948,0.4683760683760684,0.3672922252010724,0.6462264150943396,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,batch,notest,2,default,2,192585,0.8642195426478059,0.659153929975261,0.2438015192747116,0.42036309838294983,27.1,0.8635362276004881,0.009099760606385563,0.6579637066224576,0.01645316077061453,0.47293447293447294,0.3708668453976765,0.6525157232704403,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,batch,notest,3,default,2,192585,0.8725192769561371,0.655863142380367,0.24812860786914825,0.40806448459625244,27.1,0.8731834751072617,0.008836866355065516,0.6569560878839567,0.01813068920646901,0.46951566951566953,0.3681858802502234,0.6477987421383647,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,graph,notest,1,default,2,192585,0.8682058120648822,0.6478626085245357,0.2391280084848404,0.40664994716644287,28.9,0.8696022117323752,0.008276380074439774,0.6511774121164305,0.016313484142788083,0.46495726495726497,0.3646112600536193,0.6415094339622641,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,graph,notest,2,default,2,192585,0.8635752880512685,0.6598655126558983,0.2443985641002655,0.4197547435760498,28.9,0.8629139085257025,0.0091853884737713,0.6586294388483175,0.016440543356869994,0.4740740740740741,0.3717605004468275,0.6540880503144654,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
elliptic,SAGE,graph,notest,3,default,2,192585,0.870706211556395,0.6540580638835591,0.2500557005405426,0.4115983843803406,28.9,0.8713314628996988,0.008875607127782592,0.6551162465836794,0.018041921130745004,0.46951566951566953,0.3681858802502234,0.6477987421383647,0.2994652406417112,1.0,0.1761006289308176,0.037037037037037035,1.0,0.018867924528301886
